Time,Value
10:06:43,0.0
10:06:44,0.0
10:06:44,0.0
10:06:44,0.0
10:06:44,0.0
10:06:44,0.0
10:06:44,0.0
10:06:44,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:45,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
10:06:46,0.0
